$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.15 00:00:00
$Filename; CO2FT_A_Signal_Ref_20211215.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Ref, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Ref	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.15 02:17:00	15145.333333	0	60	60	1	15143.000000	15147.000000	1.209040	NaN	NaN	15145.333333	0
2021.12.15 02:18:00	15145.733333	0	60	60	1	15144.000000	15148.000000	0.775141	NaN	NaN	15145.733333	9
2021.12.15 02:19:00	15145.483333	0	60	60	1	15144.000000	15147.000000	0.525141	NaN	NaN	15145.483333	0
2021.12.15 02:20:00	15145.416667	0	60	61	1	15143.000000	15147.000000	0.687853	NaN	NaN	15145.416667	9
2021.12.15 02:21:00	15145.283333	0	60	60	1	15143.000000	15147.000000	0.884463	NaN	NaN	15145.283333	9
2021.12.15 02:22:00	15145.366667	0	60	60	1	15144.000000	15147.000000	0.948023	NaN	NaN	15145.366667	0
2021.12.15 02:23:00	15145.100000	0	60	60	1	15143.000000	15147.000000	0.769492	NaN	NaN	15145.100000	9
2021.12.15 02:24:00	15145.066667	0	60	60	1	15143.000000	15147.000000	0.978531	NaN	NaN	15145.066667	9
2021.12.15 02:25:00	15145.066667	0	60	60	1	15143.000000	15146.000000	0.876836	NaN	NaN	15145.066667	0
2021.12.15 02:26:00	15145.233333	0	60	60	1	15144.000000	15147.000000	0.825989	NaN	NaN	15145.233333	9
2021.12.15 02:27:00	15145.166667	0	60	60	1	15144.000000	15147.000000	0.514124	NaN	NaN	15145.166667	9
2021.12.15 02:28:00	15145.666667	0	60	60	1	15144.000000	15148.000000	1.310734	NaN	NaN	15145.666667	9
2021.12.15 02:29:00	15145.233333	0	60	60	1	15142.000000	15147.000000	1.673446	NaN	NaN	15145.233333	0
2021.12.15 02:30:00	15145.383333	0	60	60	1	15143.000000	15147.000000	1.392938	NaN	NaN	15145.383333	9
2021.12.15 02:31:00	15145.583333	0	60	60	1	15143.000000	15149.000000	2.281073	NaN	NaN	15145.583333	0
2021.12.15 02:32:00	15145.150000	0	60	60	1	15141.000000	15148.000000	2.807627	NaN	NaN	15145.150000	0
