$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.15 00:00:00
$Filename; CO2FT_A_P_NDIR_20211215.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_NDIR, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_NDIR	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.15 01:00:00	1015.842000	0	60	60	1	1015.690000	1015.940000	0.004809	NaN	NaN	101584.200000	0
2021.12.15 01:01:00	1015.852167	0	60	60	1	1015.700000	1015.960000	0.004675	NaN	NaN	101585.216667	9
2021.12.15 01:02:00	1015.834500	0	60	60	1	1015.700000	1015.950000	0.004862	NaN	NaN	101583.450000	9
2021.12.15 01:03:00	1015.810000	0	60	60	1	1015.660000	1015.920000	0.004986	NaN	NaN	101581.000000	9
2021.12.15 01:04:00	1015.799500	0	60	60	1	1015.650000	1015.890000	0.004520	NaN	NaN	101579.950000	0
2021.12.15 01:05:00	1015.797667	0	60	60	1	1015.650000	1015.940000	0.005859	NaN	NaN	101579.766667	0
2021.12.15 01:06:00	1015.800333	0	60	60	1	1015.660000	1015.950000	0.005444	NaN	NaN	101580.033333	9
2021.12.15 01:07:00	1015.805167	0	60	60	1	1015.670000	1015.940000	0.004232	NaN	NaN	101580.516667	0
2021.12.15 01:08:00	1015.812000	0	60	60	1	1015.660000	1015.920000	0.004406	NaN	NaN	101581.200000	9
2021.12.15 01:09:00	1015.847000	0	60	60	1	1015.690000	1015.980000	0.005204	NaN	NaN	101584.700000	0
2021.12.15 01:10:00	1015.896333	0	60	60	1	1015.740000	1016.030000	0.005607	NaN	NaN	101589.633333	0
2021.12.15 01:11:00	1015.935167	0	60	60	1	1015.780000	1016.060000	0.005256	NaN	NaN	101593.516667	0
2021.12.15 01:12:00	1015.938833	0	60	60	1	1015.810000	1016.050000	0.004746	NaN	NaN	101593.883333	0
2021.12.15 01:13:00	1015.946333	0	60	60	1	1015.800000	1016.060000	0.004973	NaN	NaN	101594.633333	9
2021.12.15 01:14:00	1015.945500	0	60	60	1	1015.810000	1016.060000	0.004764	NaN	NaN	101594.550000	9
2021.12.15 01:15:00	1015.918667	0	60	60	1	1015.760000	1016.050000	0.005791	NaN	NaN	101591.866667	9
2021.12.15 01:16:00	1015.895500	0	60	60	1	1015.740000	1016.030000	0.004795	NaN	NaN	101589.550000	0
2021.12.15 01:17:00	1015.907667	0	60	60	1	1015.770000	1016.030000	0.004713	NaN	NaN	101590.766667	0
2021.12.15 01:18:00	1015.906333	0	60	60	1	1015.770000	1016.020000	0.005102	NaN	NaN	101590.633333	0
2021.12.15 01:19:00	1015.908000	0	60	60	1	1015.760000	1016.030000	0.005148	NaN	NaN	101590.800000	9
2021.12.15 01:20:00	1015.944167	0	60	60	1	1015.810000	1016.070000	0.004703	NaN	NaN	101594.416667	0
2021.12.15 01:21:00	1015.917833	0	60	60	1	1015.780000	1016.050000	0.004648	NaN	NaN	101591.783333	0
2021.12.15 01:22:00	1015.904167	0	60	60	1	1015.730000	1016.030000	0.005103	NaN	NaN	101590.416667	0
2021.12.15 01:23:00	1015.893000	0	60	60	1	1015.760000	1016.000000	0.005350	NaN	NaN	101589.300000	9
2021.12.15 01:24:00	1015.878833	0	60	60	1	1015.740000	1015.990000	0.005431	NaN	NaN	101587.883333	9
2021.12.15 01:25:00	1015.839667	0	60	60	1	1015.690000	1015.960000	0.004458	NaN	NaN	101583.966667	0
2021.12.15 01:26:00	1015.784833	0	60	60	1	1015.660000	1015.910000	0.004398	NaN	NaN	101578.483333	0
2021.12.15 01:27:00	1015.721333	0	60	60	1	1015.580000	1015.880000	0.005571	NaN	NaN	101572.133333	9
2021.12.15 01:28:00	1015.685000	0	60	60	1	1015.540000	1015.810000	0.004517	NaN	NaN	101568.500000	0
2021.12.15 01:29:00	1015.683667	0	60	60	1	1015.520000	1015.800000	0.004824	NaN	NaN	101568.366667	0
2021.12.15 01:30:00	1015.701833	0	60	60	1	1015.550000	1015.840000	0.004483	NaN	NaN	101570.183333	9
2021.12.15 01:31:00	1015.670667	0	60	60	1	1015.540000	1015.780000	0.005040	NaN	NaN	101567.066667	9
2021.12.15 01:32:00	1015.676500	0	60	60	1	1015.510000	1015.800000	0.004237	NaN	NaN	101567.650000	0
2021.12.15 01:33:00	1015.654000	0	60	60	1	1015.510000	1015.780000	0.004801	NaN	NaN	101565.400000	0
2021.12.15 01:34:00	1015.656667	0	60	60	1	1015.510000	1015.780000	0.004179	NaN	NaN	101565.666667	0
2021.12.15 01:35:00	1015.681500	0	60	60	1	1015.520000	1015.830000	0.005603	NaN	NaN	101568.150000	9
2021.12.15 01:36:00	1015.689000	0	60	60	1	1015.550000	1015.840000	0.005368	NaN	NaN	101568.900000	0
2021.12.15 01:37:00	1015.685000	0	60	60	1	1015.550000	1015.800000	0.005263	NaN	NaN	101568.500000	9
2021.12.15 01:38:00	1015.694333	0	60	60	1	1015.540000	1015.800000	0.004916	NaN	NaN	101569.433333	0
2021.12.15 01:39:00	1015.680333	0	60	60	1	1015.520000	1015.830000	0.004712	NaN	NaN	101568.033333	9
2021.12.15 01:40:00	1015.650833	0	60	60	1	1015.480000	1015.770000	0.005320	NaN	NaN	101565.083333	9
2021.12.15 01:41:00	1015.650500	0	60	60	1	1015.520000	1015.770000	0.004168	NaN	NaN	101565.050000	0
2021.12.15 01:42:00	1015.631333	0	60	60	1	1015.500000	1015.760000	0.004510	NaN	NaN	101563.133333	0
2021.12.15 01:43:00	1015.622500	0	60	60	1	1015.470000	1015.740000	0.005911	NaN	NaN	101562.250000	0
2021.12.15 01:44:00	1015.642500	0	60	60	1	1015.480000	1015.780000	0.005212	NaN	NaN	101564.250000	9
2021.12.15 01:45:00	1015.631667	0	60	60	1	1015.500000	1015.740000	0.005482	NaN	NaN	101563.166667	0
2021.12.15 01:46:00	1015.655667	0	60	60	1	1015.470000	1015.760000	0.005191	NaN	NaN	101565.566667	0
2021.12.15 01:47:00	1015.654167	0	60	60	1	1015.480000	1015.800000	0.005364	NaN	NaN	101565.416667	9
2021.12.15 01:48:00	1015.613333	0	60	60	1	1015.500000	1015.730000	0.005148	NaN	NaN	101561.333333	9
2021.12.15 01:49:00	1015.573500	0	60	60	1	1015.430000	1015.700000	0.005081	NaN	NaN	101557.350000	9
2021.12.15 01:50:00	1015.556833	0	60	60	1	1015.430000	1015.670000	0.005144	NaN	NaN	101555.683333	9
2021.12.15 01:51:00	1015.547667	0	60	60	1	1015.390000	1015.670000	0.005588	NaN	NaN	101554.766667	9
2021.12.15 01:52:00	1015.546333	0	60	60	1	1015.430000	1015.690000	0.005302	NaN	NaN	101554.633333	9
2021.12.15 01:53:00	1015.543333	0	60	60	1	1015.410000	1015.650000	0.004484	NaN	NaN	101554.333333	0
2021.12.15 01:54:00	1015.555500	0	60	60	1	1015.410000	1015.690000	0.004896	NaN	NaN	101555.550000	9
2021.12.15 01:55:00	1015.586833	0	60	60	1	1015.470000	1015.720000	0.003842	NaN	NaN	101558.683333	9
2021.12.15 01:56:00	1015.619333	0	60	60	1	1015.460000	1015.740000	0.005450	NaN	NaN	101561.933333	9
2021.12.15 01:57:00	1015.659500	0	60	60	1	1015.540000	1015.770000	0.004205	NaN	NaN	101565.950000	9
2021.12.15 01:58:00	1015.675000	0	60	60	1	1015.520000	1015.800000	0.004741	NaN	NaN	101567.500000	9
2021.12.15 01:59:00	1015.752500	0	60	60	1	1015.580000	1015.910000	0.006643	NaN	NaN	101575.250000	9
2021.12.15 02:00:00	1015.866000	0	60	60	1	1015.730000	1016.020000	0.005499	NaN	NaN	101586.600000	9
2021.12.15 02:01:00	1015.915833	0	60	60	1	1015.760000	1016.070000	0.006187	NaN	NaN	101591.583333	0
