$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.17 00:00:08
$Filename; CO2FT_A_H_Gas_20211217.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; H_Gas, %RH; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, %RH; Float
$8; Maximum; %RH; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	H_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	%RH	Flags	Cnt	Sec	MR	%RH	%RH	Units	Deg	Deg	Units	Flags
2021.12.17 00:55:00	19.790467	0	60	61	1	19.759000	19.831000	0.000791	NaN	NaN	19790.466667	9
2021.12.17 00:56:00	19.777117	0	60	60	1	19.759000	19.831000	0.000662	NaN	NaN	19777.116667	0
2021.12.17 00:57:00	19.775750	0	60	60	1	19.759000	19.831000	0.000524	NaN	NaN	19775.750000	9
2021.12.17 00:58:00	19.767750	0	60	60	1	19.759000	19.831000	0.000359	NaN	NaN	19767.750000	0
2021.12.17 00:59:00	19.759650	0	60	60	1	19.759000	19.761000	0.000000	NaN	NaN	19759.650000	0
2021.12.17 01:00:00	19.759017	0	60	60	1	19.724000	19.760000	0.000021	NaN	NaN	19759.016667	0
2021.12.17 01:01:00	19.713367	0	60	60	1	19.688000	19.760000	0.000926	NaN	NaN	19713.366667	9
2021.12.17 01:02:00	19.666450	0	60	60	1	19.617000	19.689000	0.000865	NaN	NaN	19666.450000	9
2021.12.17 01:03:00	19.622683	0	60	60	1	19.616000	19.689000	0.000251	NaN	NaN	19622.683333	9
2021.12.17 01:04:00	19.617317	0	60	60	1	19.617000	19.618000	0.000000	NaN	NaN	19617.316667	9
2021.12.17 01:05:00	19.614950	0	60	60	1	19.581000	19.618000	0.000079	NaN	NaN	19614.950000	0
2021.12.17 01:06:00	19.611233	0	60	60	1	19.546000	19.618000	0.000223	NaN	NaN	19611.233333	0
2021.12.17 01:07:00	19.597400	0	60	60	1	19.546000	19.618000	0.000700	NaN	NaN	19597.400000	9
2021.12.17 01:08:00	19.583433	0	60	60	1	19.546000	19.618000	0.000954	NaN	NaN	19583.433333	0
2021.12.17 01:09:00	19.547817	0	60	60	1	19.545000	19.617000	0.000103	NaN	NaN	19547.816667	9
2021.12.17 01:10:00	19.526450	0	60	60	1	19.474000	19.547000	0.000750	NaN	NaN	19526.450000	0
2021.12.17 01:11:00	19.488100	0	60	60	1	19.473000	19.546000	0.000521	NaN	NaN	19488.100000	0
