$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.09 00:00:04
$Filename; CO2FT_A_T_Control_20211209.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; T_Control, °C; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, °C; Float
$8; Maximum; °C; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	T_Control	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	°C	Flags	Cnt	Sec	MR	°C	°C	Units	Deg	Deg	Units	Flags
2021.12.09 01:11:00	49.998633	0	60	59	1	49.978000	50.014000	0.000041	NaN	NaN	49998.633333	9
2021.12.09 01:12:00	49.999525	0	61	61	1	49.985000	50.013000	0.000037	NaN	NaN	49999.524590	0
2021.12.09 01:13:00	49.998424	0	59	60	1	49.966000	50.008000	0.000052	NaN	NaN	49998.423729	0
2021.12.09 01:14:00	49.999700	0	60	60	1	49.974000	50.013000	0.000054	NaN	NaN	49999.700000	0
2021.12.09 01:15:00	50.002082	0	61	61	1	49.983000	50.017000	0.000047	NaN	NaN	50002.081967	9
2021.12.09 01:16:00	49.999317	0	60	60	1	49.986000	50.010000	0.000043	NaN	NaN	49999.316667	0
2021.12.09 01:17:00	50.000220	0	59	59	1	49.981000	50.012000	0.000044	NaN	NaN	50000.220339	0
2021.12.09 01:18:00	49.999410	0	61	61	1	49.976000	50.017000	0.000064	NaN	NaN	49999.409836	0
2021.12.09 01:19:00	49.998729	0	59	59	1	49.980000	50.014000	0.000045	NaN	NaN	49998.728814	0
2021.12.09 01:20:00	50.000000	0	61	61	1	49.978000	50.011000	0.000045	NaN	NaN	50000.000000	9
2021.12.09 01:21:00	49.999729	0	59	59	1	49.976000	50.015000	0.000053	NaN	NaN	49999.728814	9
2021.12.09 01:22:00	49.998450	0	60	60	1	49.959000	50.012000	0.000085	NaN	NaN	49998.450000	0
2021.12.09 01:23:00	50.000900	0	60	61	1	49.978000	50.019000	0.000063	NaN	NaN	50000.900000	0
2021.12.09 01:24:00	49.999133	0	60	59	1	49.977000	50.017000	0.000070	NaN	NaN	49999.133333	9
2021.12.09 01:25:00	50.000833	0	60	60	1	49.985000	50.024000	0.000061	NaN	NaN	50000.833333	0
2021.12.09 01:26:00	49.998767	0	60	60	1	49.948000	50.016000	0.000094	NaN	NaN	49998.766667	9
2021.12.09 01:27:00	49.998950	0	60	60	1	49.973000	50.014000	0.000063	NaN	NaN	49998.950000	0
2021.12.09 01:28:00	50.000082	0	61	61	1	49.976000	50.017000	0.000070	NaN	NaN	50000.081967	0
2021.12.09 01:29:00	49.999797	0	59	59	1	49.971000	50.017000	0.000061	NaN	NaN	49999.796610	0
2021.12.09 01:30:00	50.000050	0	60	60	1	49.980000	50.016000	0.000058	NaN	NaN	50000.050000	0
2021.12.09 01:31:00	49.999328	0	61	61	1	49.960000	50.014000	0.000063	NaN	NaN	49999.327869	0
2021.12.09 01:32:00	49.998450	0	60	59	1	49.966000	50.016000	0.000057	NaN	NaN	49998.450000	9
2021.12.09 01:33:00	50.001068	0	59	59	1	49.985000	50.027000	0.000058	NaN	NaN	50001.067797	9
2021.12.09 01:34:00	49.998344	0	61	61	1	49.982000	50.015000	0.000046	NaN	NaN	49998.344262	9
2021.12.09 01:35:00	50.000508	0	59	59	1	49.983000	50.014000	0.000039	NaN	NaN	50000.508475	0
2021.12.09 01:36:00	50.000016	0	61	61	1	49.983000	50.018000	0.000052	NaN	NaN	50000.016393	0
2021.12.09 01:37:00	49.999417	0	60	60	1	49.978000	50.016000	0.000073	NaN	NaN	49999.416667	9
2021.12.09 01:38:00	49.999407	0	59	59	1	49.982000	50.014000	0.000045	NaN	NaN	49999.406780	0
2021.12.09 01:39:00	50.000082	0	61	60	1	49.988000	50.015000	0.000035	NaN	NaN	50000.081967	9
2021.12.09 01:40:00	50.000167	0	60	59	1	49.973000	50.022000	0.000071	NaN	NaN	50000.166667	0
