$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.13 04:00:10
$Filename; CO2FT_A ZeroCycle 20211213 040010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.13 04:00:41	0	0	NaN	NaN	1023.740000	998.140000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.580000	49.989000	31.859000	39.485000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:42	0	0	NaN	NaN	1023.720000	998.140000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	49.992000	31.880000	39.387000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:43	0	0	NaN	NaN	1023.740000	998.160000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	49.992000	31.869000	39.453000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:44	0	0	NaN	NaN	1023.740000	998.160000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	49.998000	31.869000	39.453000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:45	0	0	NaN	NaN	1023.740000	998.160000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	49.998000	31.880000	39.487000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:46	0	0	NaN	NaN	1023.830000	998.190000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.580000	49.996000	31.880000	39.487000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:47	0	0	NaN	NaN	1023.740000	998.230000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	49.999000	31.889000	39.488000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:48	0	0	NaN	NaN	1023.760000	998.260000	1.000000	0.000000	22232.000000	15116.000000	46.700000	-80.850000	2.000000	66666.000000	26.570000	50.001000	31.869000	39.486000	26.180000	66666.000000	66666.000000
2021.12.13 04:00:49	0	0	NaN	NaN	1023.800000	998.230000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.015000	31.869000	39.486000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:50	0	0	NaN	NaN	1023.780000	998.220000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.001000	31.869000	39.486000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:51	0	0	NaN	NaN	1023.800000	998.220000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.001000	31.880000	39.487000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:52	0	0	NaN	NaN	1023.790000	998.260000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	49.995000	31.880000	39.487000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:53	0	0	NaN	NaN	1023.800000	998.230000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	49.997000	31.880000	39.521000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:54	0	0	NaN	NaN	1023.820000	998.220000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	49.999000	31.910000	39.558000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:55	0	0	NaN	NaN	1023.790000	998.290000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	49.991000	31.889000	39.555000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:56	0	0	NaN	NaN	1023.790000	998.310000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	49.991000	31.880000	39.554000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:57	0	0	NaN	NaN	1023.820000	998.300000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.003000	31.889000	39.555000	26.070000	66666.000000	66666.000000
2021.12.13 04:00:58	0	0	NaN	NaN	1023.820000	998.310000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.013000	31.889000	39.555000	26.070000	66666.000000	66666.000000
