$Timestamp	PCO2_Corr	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	µatm	Flags	Cnt	Sec	MR	µatm	µatm	Units	Deg	Deg	Units	Flags
2021.12.08 01:02:00	449.383390	0	59	59	1	448.370000	450.660000	0.244409	NaN	NaN	44938.338983	9
2021.12.08 01:03:00	450.609180	0	61	60	1	449.720000	451.470000	0.148151	NaN	NaN	45060.918033	0
2021.12.08 01:04:00	451.480667	0	60	59	1	450.570000	452.360000	0.171769	NaN	NaN	45148.066667	0
2021.12.08 01:05:00	452.352881	0	59	58	1	451.690000	453.080000	0.195166	NaN	NaN	45235.288136	9
2021.12.08 01:06:00	453.189016	0	61	61	1	452.580000	453.710000	0.066102	NaN	NaN	45318.901639	0
2021.12.08 01:07:00	453.990169	0	59	60	1	453.070000	454.800000	0.204078	NaN	NaN	45399.016949	9
2021.12.08 01:08:00	454.716000	0	60	60	1	453.660000	455.300000	0.130282	NaN	NaN	45471.600000	0
2021.12.08 01:09:00	455.094098	0	61	61	1	454.340000	455.650000	0.116318	NaN	NaN	45509.409836	0
2021.12.08 01:10:00	455.984333	0	60	60	1	455.520000	456.750000	0.108100	NaN	NaN	45598.433333	0
2021.12.08 01:11:00	456.157797	0	59	59	1	455.380000	457.280000	0.132966	NaN	NaN	45615.779661	0
2021.12.08 01:12:00	456.850500	0	60	60	1	456.380000	457.360000	0.065144	NaN	NaN	45685.050000	0
2021.12.08 01:13:00	456.925574	0	61	60	1	456.390000	457.350000	0.048012	NaN	NaN	45692.557377	0
2021.12.08 01:14:00	457.234068	0	59	58	1	456.360000	457.990000	0.123300	NaN	NaN	45723.406780	9
2021.12.08 01:15:00	458.005410	0	61	61	1	457.100000	458.880000	0.145769	NaN	NaN	45800.540984	0
2021.12.08 01:16:00	458.212833	0	60	60	1	457.430000	458.790000	0.095390	NaN	NaN	45821.283333	9
2021.12.08 01:17:00	458.656271	0	59	60	1	458.050000	459.250000	0.092920	NaN	NaN	45865.627119	0
2021.12.08 01:18:00	458.978197	0	61	61	1	458.470000	459.530000	0.032362	NaN	NaN	45897.819672	9
2021.12.08 01:19:00	458.454667	0	60	61	1	457.790000	459.310000	0.166269	NaN	NaN	45845.466667	0
2021.12.08 01:20:00	456.854333	0	60	59	1	455.520000	458.290000	0.585693	NaN	NaN	45685.433333	9
2021.12.08 01:21:00	455.246949	0	59	58	1	454.510000	456.000000	0.143091	NaN	NaN	45524.694915	0
2021.12.08 01:22:00	455.026333	0	60	60	1	454.550000	455.530000	0.048027	NaN	NaN	45502.633333	0
2021.12.08 01:23:00	455.604918	0	61	62	1	454.980000	456.280000	0.112249	NaN	NaN	45560.491803	9
2021.12.08 01:24:00	457.049833	0	60	59	1	456.130000	458.070000	0.253158	NaN	NaN	45704.983333	0
2021.12.08 01:25:00	458.581864	0	59	58	1	457.750000	459.270000	0.235436	NaN	NaN	45858.186441	0
2021.12.08 01:26:00	460.163607	0	61	61	1	459.120000	461.380000	0.457397	NaN	NaN	46016.360656	9
2021.12.08 01:27:00	461.474333	0	60	60	1	460.820000	462.160000	0.116669	NaN	NaN	46147.433333	0
2021.12.08 01:28:00	462.613167	0	60	60	1	461.330000	463.270000	0.288605	NaN	NaN	46261.316667	0
2021.12.08 01:29:00	463.774000	0	60	60	1	462.900000	464.790000	0.194136	NaN	NaN	46377.400000	9
2021.12.08 01:30:00	464.794746	0	59	59	1	463.830000	465.340000	0.173260	NaN	NaN	46479.474576	0
2021.12.08 01:31:00	465.118000	0	60	59	1	464.500000	465.770000	0.076569	NaN	NaN	46511.800000	9
2021.12.08 01:32:00	465.541500	0	60	60	1	465.100000	466.120000	0.091027	NaN	NaN	46554.150000	0
2021.12.08 01:33:00	465.893667	0	60	60	1	465.260000	466.530000	0.118624	NaN	NaN	46589.366667	9
