$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.11 00:00:07
$Filename; CO2FT_A_T_Gas_20211211.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; T_Gas, °C; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, °C; Float
$8; Maximum; °C; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	T_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	°C	Flags	Cnt	Sec	MR	°C	°C	Units	Deg	Deg	Units	Flags
2021.12.11 01:59:00	31.985847	0	59	59	1	31.959000	32.009000	0.000104	NaN	NaN	31985.847458	0
2021.12.11 02:00:00	31.978000	0	60	60	1	31.959000	31.999000	0.000066	NaN	NaN	31978.000000	9
2021.12.11 02:01:00	31.979233	0	60	60	1	31.959000	31.999000	0.000097	NaN	NaN	31979.233333	0
2021.12.11 02:02:00	31.984700	0	60	60	1	31.950000	32.009000	0.000136	NaN	NaN	31984.700000	0
2021.12.11 02:03:00	31.982533	0	60	60	1	31.959000	32.020000	0.000189	NaN	NaN	31982.533333	9
2021.12.11 02:04:00	31.983098	0	61	61	1	31.950000	32.009000	0.000132	NaN	NaN	31983.098361	0
2021.12.11 02:05:00	31.982695	0	59	59	1	31.969000	32.009000	0.000085	NaN	NaN	31982.694915	9
2021.12.11 02:06:00	31.983283	0	60	60	1	31.969000	32.009000	0.000092	NaN	NaN	31983.283333	0
2021.12.11 02:07:00	31.977417	0	60	60	1	31.959000	31.999000	0.000103	NaN	NaN	31977.416667	9
2021.12.11 02:08:00	31.977283	0	60	60	1	31.959000	31.999000	0.000125	NaN	NaN	31977.283333	9
2021.12.11 02:09:00	31.975883	0	60	60	1	31.959000	31.999000	0.000094	NaN	NaN	31975.883333	0
2021.12.11 02:10:00	31.975852	0	61	61	1	31.950000	32.009000	0.000103	NaN	NaN	31975.852459	0
2021.12.11 02:11:00	31.967034	0	59	59	1	31.950000	31.989000	0.000089	NaN	NaN	31967.033898	9
2021.12.11 02:12:00	31.971817	0	60	60	1	31.950000	31.989000	0.000097	NaN	NaN	31971.816667	0
2021.12.11 02:13:00	31.974869	0	61	61	1	31.959000	31.999000	0.000135	NaN	NaN	31974.868852	9
2021.12.11 02:14:00	31.977917	0	60	60	1	31.959000	31.999000	0.000079	NaN	NaN	31977.916667	0
2021.12.11 02:15:00	31.979695	0	59	59	1	31.959000	31.999000	0.000095	NaN	NaN	31979.694915	9
2021.12.11 02:16:00	31.984300	0	60	60	1	31.959000	31.999000	0.000082	NaN	NaN	31984.300000	9
2021.12.11 02:17:00	31.983377	0	61	61	1	31.959000	31.999000	0.000078	NaN	NaN	31983.377049	9
2021.12.11 02:18:00	31.985966	0	59	59	1	31.969000	32.009000	0.000108	NaN	NaN	31985.966102	0
2021.12.11 02:19:00	31.991150	0	60	60	1	31.969000	32.009000	0.000081	NaN	NaN	31991.150000	9
2021.12.11 02:20:00	31.992148	0	61	61	1	31.959000	32.020000	0.000132	NaN	NaN	31992.147541	0
2021.12.11 02:21:00	31.992220	0	59	59	1	31.959000	32.020000	0.000146	NaN	NaN	31992.220339	0
2021.12.11 02:22:00	31.996833	0	60	60	1	31.969000	32.020000	0.000116	NaN	NaN	31996.833333	0
2021.12.11 02:23:00	31.994950	0	60	60	1	31.980000	32.009000	0.000082	NaN	NaN	31994.950000	0
2021.12.11 02:24:00	31.999183	0	60	60	1	31.980000	32.020000	0.000101	NaN	NaN	31999.183333	9
2021.12.11 02:25:00	32.001133	0	60	60	1	31.980000	32.039000	0.000112	NaN	NaN	32001.133333	9
2021.12.11 02:26:00	32.004317	0	60	60	1	31.980000	32.029000	0.000100	NaN	NaN	32004.316667	0
2021.12.11 02:27:00	32.009533	0	60	60	1	31.980000	32.039000	0.000137	NaN	NaN	32009.533333	0
2021.12.11 02:28:00	32.010583	0	60	60	1	31.999000	32.029000	0.000071	NaN	NaN	32010.583333	9
2021.12.11 02:29:00	32.010717	0	60	60	1	31.989000	32.039000	0.000142	NaN	NaN	32010.716667	0
2021.12.11 02:30:00	32.007217	0	60	60	1	31.980000	32.029000	0.000081	NaN	NaN	32007.216667	9
2021.12.11 02:31:00	32.007689	0	61	61	1	31.989000	32.039000	0.000113	NaN	NaN	32007.688525	0
2021.12.11 02:32:00	32.011390	0	59	59	1	31.999000	32.029000	0.000096	NaN	NaN	32011.389831	0
2021.12.11 02:33:00	32.013933	0	60	60	1	31.999000	32.029000	0.000068	NaN	NaN	32013.933333	0
2021.12.11 02:34:00	32.013820	0	61	61	1	31.989000	32.039000	0.000126	NaN	NaN	32013.819672	0
2021.12.11 02:35:00	32.016186	0	59	59	1	31.989000	32.039000	0.000118	NaN	NaN	32016.186441	0
2021.12.11 02:36:00	32.022817	0	60	60	1	31.999000	32.039000	0.000074	NaN	NaN	32022.816667	0
2021.12.11 02:37:00	32.020900	0	60	60	1	32.009000	32.039000	0.000073	NaN	NaN	32020.900000	9
2021.12.11 02:38:00	32.020600	0	60	60	1	31.989000	32.039000	0.000145	NaN	NaN	32020.600000	9
2021.12.11 02:39:00	32.027117	0	60	60	1	31.989000	32.050000	0.000124	NaN	NaN	32027.116667	9
2021.12.11 02:40:00	32.025450	0	60	60	1	31.999000	32.039000	0.000082	NaN	NaN	32025.450000	0
2021.12.11 02:41:00	32.027721	0	61	61	1	31.999000	32.050000	0.000100	NaN	NaN	32027.721311	0
2021.12.11 02:42:00	32.035783	0	60	60	1	32.009000	32.050000	0.000059	NaN	NaN	32035.783333	0
2021.12.11 02:43:00	32.032390	0	59	59	1	32.009000	32.050000	0.000086	NaN	NaN	32032.389831	0
2021.12.11 02:44:00	32.030900	0	60	60	1	32.009000	32.060000	0.000117	NaN	NaN	32030.900000	0
2021.12.11 02:45:00	32.031016	0	61	61	1	31.999000	32.060000	0.000136	NaN	NaN	32031.016393	9
2021.12.11 02:46:00	32.039627	0	59	59	1	32.009000	32.060000	0.000129	NaN	NaN	32039.627119	0
2021.12.11 02:47:00	32.040492	0	61	61	1	32.009000	32.060000	0.000148	NaN	NaN	32040.491803	9
2021.12.11 02:48:00	32.038700	0	60	60	1	32.009000	32.060000	0.000117	NaN	NaN	32038.700000	0
2021.12.11 02:49:00	32.039847	0	59	59	1	32.020000	32.060000	0.000097	NaN	NaN	32039.847458	9
2021.12.11 02:50:00	32.041000	0	60	60	1	32.020000	32.060000	0.000073	NaN	NaN	32041.000000	9
2021.12.11 02:51:00	32.051067	0	60	60	1	32.029000	32.069000	0.000134	NaN	NaN	32051.066667	9
2021.12.11 02:52:00	32.050633	0	60	60	1	32.029000	32.079000	0.000102	NaN	NaN	32050.633333	0
2021.12.11 02:53:00	32.052350	0	60	60	1	32.039000	32.069000	0.000089	NaN	NaN	32052.350000	0
2021.12.11 02:54:00	32.054717	0	60	60	1	32.029000	32.079000	0.000069	NaN	NaN	32054.716667	9
2021.12.11 02:55:00	32.053550	0	60	60	1	32.029000	32.079000	0.000103	NaN	NaN	32053.550000	0
2021.12.11 02:56:00	32.056869	0	61	61	1	32.029000	32.079000	0.000123	NaN	NaN	32056.868852	0
2021.12.11 02:57:00	32.057712	0	59	59	1	32.039000	32.079000	0.000072	NaN	NaN	32057.711864	9
2021.12.11 02:58:00	32.058217	0	60	60	1	32.039000	32.079000	0.000086	NaN	NaN	32058.216667	0
2021.12.11 02:59:00	32.063683	0	60	60	1	32.039000	32.090000	0.000155	NaN	NaN	32063.683333	0
2021.12.11 03:00:00	32.062783	0	60	60	1	32.039000	32.079000	0.000057	NaN	NaN	32062.783333	9
2021.12.11 03:01:00	32.060400	0	60	60	1	32.039000	32.090000	0.000130	NaN	NaN	32060.400000	9
2021.12.11 03:02:00	32.067250	0	60	60	1	32.039000	32.099000	0.000108	NaN	NaN	32067.250000	9
2021.12.11 03:03:00	32.066067	0	60	60	1	32.039000	32.090000	0.000195	NaN	NaN	32066.066667	0
2021.12.11 03:04:00	32.074233	0	60	60	1	32.060000	32.090000	0.000074	NaN	NaN	32074.233333	0
2021.12.11 03:05:00	32.072279	0	61	61	1	32.050000	32.090000	0.000098	NaN	NaN	32072.278689	9
2021.12.11 03:06:00	32.073847	0	59	59	1	32.060000	32.090000	0.000080	NaN	NaN	32073.847458	9
2021.12.11 03:07:00	32.078217	0	60	60	1	32.060000	32.099000	0.000121	NaN	NaN	32078.216667	0
