$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.03 00:00:01
$Filename; CO2FT_A_P_In_20211203.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_In, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_In	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.03 01:24:00	990.844500	128	60	60	1	990.730000	990.990000	0.004130	NaN	NaN	99084.450000	8388608
2021.12.03 01:25:00	990.832500	128	60	60	1	990.720000	990.990000	0.004734	NaN	NaN	99083.250000	8388608
2021.12.03 01:26:00	990.840167	128	60	60	1	990.720000	990.940000	0.004171	NaN	NaN	99084.016667	8388608
2021.12.03 01:27:00	990.834407	128	59	59	1	990.720000	990.950000	0.004718	NaN	NaN	99083.440678	8388608
2021.12.03 01:28:00	990.821639	128	61	61	1	990.690000	990.950000	0.004497	NaN	NaN	99082.163934	8388617
2021.12.03 01:29:00	990.816102	128	59	60	1	990.690000	990.910000	0.004541	NaN	NaN	99081.610169	8388608
2021.12.03 01:30:00	990.822333	128	60	60	1	990.710000	990.930000	0.004137	NaN	NaN	99082.233333	8388617
2021.12.03 01:31:00	990.835082	128	61	60	1	990.720000	990.940000	0.004149	NaN	NaN	99083.508197	8388608
2021.12.03 01:32:00	990.840667	128	60	59	1	990.720000	990.950000	0.004701	NaN	NaN	99084.066667	8388608
2021.12.03 01:33:00	990.837667	128	60	59	1	990.720000	990.950000	0.004252	NaN	NaN	99083.766667	8388608
2021.12.03 01:34:00	990.829333	128	60	60	1	990.710000	990.970000	0.004362	NaN	NaN	99082.933333	8388617
2021.12.03 01:35:00	990.848644	128	59	59	1	990.730000	990.970000	0.004581	NaN	NaN	99084.864407	8388608
2021.12.03 01:36:00	990.850333	128	60	60	1	990.730000	990.980000	0.004363	NaN	NaN	99085.033333	8388608
2021.12.03 01:37:00	990.848500	128	60	60	1	990.720000	990.950000	0.004549	NaN	NaN	99084.850000	8388608
2021.12.03 01:38:00	990.842623	128	61	60	1	990.720000	990.940000	0.004260	NaN	NaN	99084.262295	8388608
2021.12.03 01:39:00	990.851000	128	60	59	1	990.750000	990.970000	0.003819	NaN	NaN	99085.100000	8388608
2021.12.03 01:40:00	990.835932	128	59	59	1	990.730000	990.950000	0.003997	NaN	NaN	99083.593220	8388608
2021.12.03 01:41:00	990.844262	128	61	61	1	990.720000	990.950000	0.004652	NaN	NaN	99084.426230	8388617
2021.12.03 01:42:00	990.836167	128	60	60	1	990.720000	990.940000	0.003770	NaN	NaN	99083.616667	8388608
2021.12.03 01:43:00	990.844237	128	59	59	1	990.730000	990.950000	0.004128	NaN	NaN	99084.423729	8388608
2021.12.03 01:44:00	990.846393	128	61	60	1	990.730000	990.940000	0.004280	NaN	NaN	99084.639344	8388608
2021.12.03 01:45:00	990.852833	128	60	59	1	990.750000	990.970000	0.004597	NaN	NaN	99085.283333	8388608
