$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.02 00:00:09
$Filename; CO2FT_A_Signal_Proc_20211202.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Proc, digits; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, digits; Float
$8; Maximum; digits; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Proc	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	digits	Flags	Cnt	Sec	MR	digits	digits	Units	Deg	Deg	Units	Flags
2021.12.02 00:59:00	1812.433900	128	60	60	1	1811.543000	1813.497000	0.358363	NaN	NaN	1812433.900000	8388608
2021.12.02 01:00:00	1814.365867	128	60	60	1	1813.211000	1815.458000	0.442377	NaN	NaN	1814365.866667	8388608
2021.12.02 01:01:00	1816.438967	128	60	60	1	1815.458000	1817.127000	0.190601	NaN	NaN	1816438.966667	8388608
2021.12.02 01:02:00	1818.073250	128	60	60	1	1817.127000	1818.802000	0.215840	NaN	NaN	1818073.250000	8388608
2021.12.02 01:03:00	1819.938525	128	59	60	1	1818.802000	1821.042000	0.356428	NaN	NaN	1819938.525424	8388608
2021.12.02 01:04:00	1821.619115	128	61	61	1	1820.750000	1822.710000	0.383667	NaN	NaN	1821619.114754	8388617
2021.12.02 01:05:00	1823.386729	128	59	59	1	1822.710000	1824.386000	0.237527	NaN	NaN	1823386.728814	8388608
2021.12.02 01:06:00	1825.142262	128	61	60	1	1824.386000	1826.067000	0.351800	NaN	NaN	1825142.262295	8388608
2021.12.02 01:07:00	1826.935100	128	60	59	1	1826.067000	1828.021000	0.321025	NaN	NaN	1826935.100000	8388608
2021.12.02 01:08:00	1828.535050	128	60	59	1	1827.736000	1829.416000	0.250400	NaN	NaN	1828535.050000	8388617
2021.12.02 01:09:00	1829.881233	128	60	60	1	1829.131000	1830.527000	0.183806	NaN	NaN	1829881.233333	8388608
2021.12.02 01:10:00	1831.443550	128	60	60	1	1830.527000	1831.929000	0.147955	NaN	NaN	1831443.550000	8388617
2021.12.02 01:11:00	1833.073068	128	59	59	1	1831.918000	1833.888000	0.283383	NaN	NaN	1833073.067797	8388617
2021.12.02 01:12:00	1834.590033	128	61	61	1	1833.888000	1835.568000	0.169041	NaN	NaN	1834590.032787	8388617
2021.12.02 01:13:00	1835.899133	128	60	61	1	1835.279000	1836.954000	0.113164	NaN	NaN	1835899.133333	8388608
2021.12.02 01:14:00	1837.587167	128	60	59	1	1836.669000	1838.354000	0.282763	NaN	NaN	1837587.166667	8388608
2021.12.02 01:15:00	1838.835400	128	60	60	1	1838.350000	1839.187000	0.056437	NaN	NaN	1838835.400000	8388617
2021.12.02 01:16:00	1840.160717	128	60	60	1	1839.467000	1840.583000	0.120452	NaN	NaN	1840160.716667	8388608
2021.12.02 01:17:00	1841.441967	128	60	60	1	1840.579000	1842.258000	0.226372	NaN	NaN	1841441.966667	8388617
2021.12.02 01:18:00	1842.646067	128	60	60	1	1842.253000	1843.379000	0.098626	NaN	NaN	1842646.066667	8388617
2021.12.02 01:19:00	1843.950383	128	60	60	1	1843.095000	1844.771000	0.202949	NaN	NaN	1843950.383333	8388608
2021.12.02 01:20:00	1845.501233	128	60	60	1	1844.487000	1846.171000	0.149654	NaN	NaN	1845501.233333	8388608
2021.12.02 01:21:00	1846.612900	128	60	60	1	1845.887000	1847.287000	0.212800	NaN	NaN	1846612.900000	8388617
2021.12.02 01:22:00	1847.603983	128	60	60	1	1846.999000	1848.395000	0.137257	NaN	NaN	1847603.983333	8388608
2021.12.02 01:23:00	1848.987450	128	60	60	1	1848.395000	1849.517000	0.100919	NaN	NaN	1848987.450000	8388608
2021.12.02 01:24:00	1850.121200	128	60	60	1	1849.233000	1850.637000	0.069668	NaN	NaN	1850121.200000	8388617
2021.12.02 01:25:00	1851.160367	128	60	60	1	1850.625000	1851.745000	0.113391	NaN	NaN	1851160.366667	8388608
2021.12.02 01:26:00	1852.322119	128	59	59	1	1851.745000	1852.862000	0.125856	NaN	NaN	1852322.118644	8388608
2021.12.02 01:27:00	1853.406885	128	61	62	1	1852.296000	1854.266000	0.301917	NaN	NaN	1853406.885246	8388608
2021.12.02 01:28:00	1854.512533	128	60	59	1	1853.983000	1854.820000	0.078206	NaN	NaN	1854512.533333	8388608
2021.12.02 01:29:00	1855.524150	128	60	59	1	1854.817000	1856.499000	0.182369	NaN	NaN	1855524.150000	8388617
2021.12.02 01:30:00	1856.536133	128	60	60	1	1856.212000	1857.336000	0.108395	NaN	NaN	1856536.133333	8388617
2021.12.02 01:31:00	1857.391167	128	60	60	1	1857.050000	1858.170000	0.100881	NaN	NaN	1857391.166667	8388608
2021.12.02 01:32:00	1858.608100	128	60	60	1	1858.170000	1859.015000	0.070186	NaN	NaN	1858608.100000	8388608
2021.12.02 01:33:00	1859.572797	128	59	60	1	1859.008000	1860.407000	0.152271	NaN	NaN	1859572.796610	8388608
2021.12.02 01:34:00	1860.291197	128	61	61	1	1859.838000	1860.962000	0.089650	NaN	NaN	1860291.196721	8388617
2021.12.02 01:35:00	1861.222467	128	60	60	1	1860.959000	1861.803000	0.060872	NaN	NaN	1861222.466667	8388608
2021.12.02 01:36:00	1862.523492	128	59	59	1	1861.803000	1863.205000	0.133001	NaN	NaN	1862523.491525	8388608
2021.12.02 01:37:00	1863.145852	128	61	60	1	1862.917000	1863.477000	0.034964	NaN	NaN	1863145.852459	8388617
2021.12.02 01:38:00	1863.975600	128	60	59	1	1863.471000	1864.312000	0.057431	NaN	NaN	1863975.600000	8388617
2021.12.02 01:39:00	1864.931100	128	60	59	1	1864.309000	1865.431000	0.112154	NaN	NaN	1864931.100000	8388608
2021.12.02 01:40:00	1865.558900	128	60	60	1	1865.426000	1865.987000	0.022284	NaN	NaN	1865558.900000	8388617
2021.12.02 01:41:00	1866.484383	128	60	60	1	1865.702000	1867.107000	0.146982	NaN	NaN	1866484.383333	8388608
2021.12.02 01:42:00	1867.373617	128	60	60	1	1866.824000	1867.942000	0.074110	NaN	NaN	1867373.616667	8388617
2021.12.02 01:43:00	1868.048500	128	60	60	1	1867.662000	1868.223000	0.026514	NaN	NaN	1868048.500000	8388617
2021.12.02 01:44:00	1868.964233	128	60	60	1	1868.217000	1869.340000	0.078602	NaN	NaN	1868964.233333	8388617
2021.12.02 01:45:00	1869.620200	128	60	60	1	1869.055000	1870.456000	0.107503	NaN	NaN	1869620.200000	8388608
2021.12.02 01:46:00	1870.394883	128	60	60	1	1869.613000	1871.018000	0.240707	NaN	NaN	1870394.883333	8388617
