$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.12 00:00:05
$Filename; CO2FT_A_Signal_Raw_20211212.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Raw, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Raw	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.12 01:15:00	20408.016667	0	60	60	1	20407.000000	20409.000000	0.457345	NaN	NaN	20408.016667	9
2021.12.12 01:16:00	20406.550000	0	60	60	1	20405.000000	20408.000000	0.421186	NaN	NaN	20406.550000	0
2021.12.12 01:17:00	20404.966667	0	60	60	1	20404.000000	20406.000000	0.642938	NaN	NaN	20404.966667	9
2021.12.12 01:18:00	20402.683333	0	60	60	1	20402.000000	20404.000000	0.559040	NaN	NaN	20402.683333	0
2021.12.12 01:19:00	20402.213115	0	61	61	1	20402.000000	20403.000000	0.170492	NaN	NaN	20402.213115	0
2021.12.12 01:20:00	20401.016949	0	59	59	1	20401.000000	20402.000000	0.016949	NaN	NaN	20401.016949	0
2021.12.12 01:21:00	20400.850000	0	60	60	1	20400.000000	20401.000000	0.129661	NaN	NaN	20400.850000	9
2021.12.12 01:22:00	20400.550000	0	60	60	1	20400.000000	20402.000000	0.285593	NaN	NaN	20400.550000	0
2021.12.12 01:23:00	20400.114754	0	61	61	1	20399.000000	20401.000000	0.303279	NaN	NaN	20400.114754	9
2021.12.12 01:24:00	20398.762712	0	59	59	1	20398.000000	20400.000000	0.253068	NaN	NaN	20398.762712	0
2021.12.12 01:25:00	20397.450000	0	60	60	1	20396.000000	20398.000000	0.387288	NaN	NaN	20397.450000	0
2021.12.12 01:26:00	20395.655738	0	61	61	1	20394.000000	20397.000000	0.362842	NaN	NaN	20395.655738	0
2021.12.12 01:27:00	20396.084746	0	59	59	1	20395.000000	20397.000000	0.182350	NaN	NaN	20396.084746	0
2021.12.12 01:28:00	20396.450000	0	60	60	1	20396.000000	20397.000000	0.251695	NaN	NaN	20396.450000	0
2021.12.12 01:29:00	20396.666667	0	60	60	1	20396.000000	20397.000000	0.225989	NaN	NaN	20396.666667	0
2021.12.12 01:30:00	20397.266667	0	60	60	1	20397.000000	20398.000000	0.198870	NaN	NaN	20397.266667	9
